date,equity
2010-03-16,100000.0
2010-03-17,100000.0
2010-03-18,100000.0
2010-03-19,100000.0
2010-03-22,100000.0
2010-03-23,100000.0
2010-03-24,100000.0
2010-03-25,100000.0
2010-03-26,100000.0
2010-03-29,100000.0
2010-03-30,100000.0
2010-03-31,100000.0
2010-04-01,100000.0
2010-04-05,100000.0
2010-04-06,100000.0
2010-04-07,100000.0
2010-04-08,100000.0
2010-04-09,100000.0
2010-04-12,100000.0
2010-04-13,100000.0
2010-04-14,100000.0
2010-04-15,100000.0
2010-04-16,100000.0
2010-04-19,100000.0
2010-04-20,100000.0
2010-04-21,100000.0
2010-04-22,100000.0
2010-04-23,100000.0
2010-04-26,100000.0
2010-04-27,100000.0
2010-04-28,100000.0
2010-04-29,100000.0
2010-04-30,100000.0
2010-05-03,100000.0
2010-05-04,100000.0
2010-05-05,100000.0
2010-05-06,100000.0
2010-05-07,100000.0
2010-05-10,100000.0
2010-05-11,100000.0
2010-05-12,100000.0
2010-05-13,100000.0
2010-05-14,100000.0
2010-05-17,100000.0
2010-05-18,100000.0
2010-05-19,100000.0
2010-05-20,100000.0
2010-05-21,100000.0
2010-05-24,100000.0
2010-05-25,100000.0
2010-05-26,100000.0
2010-05-27,100000.0
2010-05-28,100000.0
2010-06-01,100000.0
2010-06-02,100000.0
2010-06-03,100000.0
2010-06-04,100000.0
2010-06-07,100000.0
2010-06-08,100000.0
2010-06-09,100000.0
2010-06-10,100000.0
2010-06-11,100000.0
2010-06-14,100000.0
2010-06-15,100000.0
2010-06-16,100000.0
2010-06-17,100000.0
2010-06-18,100000.0
2010-06-21,100000.0
2010-06-22,100000.0
2010-06-23,100000.0
2010-06-24,100000.0
2010-06-25,100000.0
2010-06-28,100000.0
2010-06-29,100000.0
2010-06-30,100000.0
2010-07-01,100000.0
2010-07-02,100000.0
2010-07-06,100000.0
2010-07-07,100000.0
2010-07-08,100000.0
2010-07-09,100000.0
2010-07-12,100000.0
2010-07-13,100000.0
2010-07-14,100000.0
2010-07-15,100000.0
2010-07-16,100000.0
2010-07-19,100000.0
